Company,Bean_Origin_or_Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin_Country,Ingredients,Most_Memorable_Characteristics,continent,country_code,latitude,longitude
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,missing,Peru,"3- B,S,C","sweet, cocoa, tangerine",South America,PE,-9.189967,-75.015152
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,missing,Peru,"4- B,S,C,L","cocoa,sour,intense tangerine",South America,PE,-9.189967,-75.015152
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,missing,Peru,"3- B,S,C","sweet, cocoa, tangerine",South America,PE,-9.189967,-75.015152
A. Morin,Bolivia,797,2012,70.0,France,3.5,missing,Bolivia,"4- B,S,C,L","vegetal, nutty",South America,BO,-16.290154,-63.588653
A. Morin,Peru,797,2012,63.0,France,3.75,missing,Peru,"4- B,S,C,L","fruity, melon, roasty",South America,PE,-9.189967,-75.015152
Acalli,"Chulucanas, El Platanal",1462,2015,70.0,United States of America,3.75,missing,Peru,Unknown,missing,South America,PE,-9.189967,-75.015152
Acalli,"Tumbes, Norandino",1470,2015,70.0,United States of America,3.75,Criollo,Peru,"2- B,S","intense, nutty, cherry, cocoa",South America,PE,-9.189967,-75.015152
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,"3- B,S,C","sweet, sublte strawberry",Oceania,FJ,-16.578193,179.414413
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,"3- B,S,C","orange, floral, lemon",Oceania,FJ,-16.578193,179.414413
Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,"3- B,S,C",spicy and candy-like,Oceania,FJ,-16.578193,179.414413
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,"3- B,S,C","sweet, sublte strawberry",Oceania,FJ,-16.578193,179.414413
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,"3- B,S,C","orange, floral, lemon",Oceania,FJ,-16.578193,179.414413
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji,"3- B,S,C",cocoa and powerful tang,Oceania,FJ,-16.578193,179.414413
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero,Ecuador,"4- B,S,C,V","sandy, sweet, banana cream",South America,EC,-1.831239,-78.183406
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero,Ecuador,"4- B,S,C,V","roasty, nutty, coffee",South America,EC,-1.831239,-78.183406
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero,Ecuador,"4- B,S,C,V","sandy, sweet, banana cream",South America,EC,-1.831239,-78.183406
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero,Ecuador,"4- B,S,C,V","roasty, nutty, coffee",South America,EC,-1.831239,-78.183406
Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico,"3- B,S,C","gritty, spice, cocoa",North America,MX,23.634501,-102.552784
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia,"4- B,S,C,L","hay, nut, berry",Asia,ID,-0.789275,113.921327
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar,"4- B,S,C,L","strong pepper, musty",Africa,MG,-18.766947,46.869107
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil,"4- B,S,C,L","fatty, intense, woody",South America,BR,-14.235004,-51.92528
Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,Trinidad Tobago,"6-B,S,C,V,L,Sa","roasty, sweet, savory",Caribbean,TT,10.691803,-61.222503
Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,Vietnam,"5-B,S,C,V,Sa","nutty, roasty, odd dairy",Asia,VN,14.058324,108.277199
Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar,"5-B,S,C,V,Sa","citrus, fatty, dairy",Africa,MG,-18.766947,46.869107
Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela,"5- B,S,C,V,L","sandy, dirt, ashey",South America,VE,6.42375,-66.58973
Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,missing,Peru,"5- B,S,C,V,L","cardboard, dirt, roasty",South America,PE,-9.189967,-75.015152
Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,Forastero,Ecuador,"3- B,S,C","sandy, green, floral",South America,EC,-1.831239,-78.183406
Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,Criollo,Nicaragua,"3- B,S,C","sandy, sweet, nibby",Central America,NI,12.865416,-85.207229
Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,"3- B,S,C","sandy, sweet, roasty",Asia,VN,14.058324,108.277199
Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,Tanzania,"3- B,S,C","sandy, melon, banana",Africa,TZ,-6.369028,34.888822
Altus aka Cao Artisan,Momotombo,1728,2016,60.0,United States of America,2.75,missing,Nicaragua,"3- B,S,C","powdery, sweet, molasses",Central America,NI,12.865416,-85.207229
Altus aka Cao Artisan,Acopagro,1728,2016,60.0,United States of America,3.0,missing,Peru,"3- B,S,C","dry, sweet, caramel",South America,PE,-9.189967,-75.015152
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,United States of America,2.5,missing,Bolivia,"3- B,S,C","sandy, sweet, pungent",South America,BO,-16.290154,-63.588653
Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,United States of America,2.5,missing,Peru,"3- B,S,C","sandy, sweet, sour, off",South America,PE,-9.189967,-75.015152
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,United States of America,2.75,missing,Ecuador,"3- B,S,C","sandy, nutty, earthy, roasty",South America,EC,-1.831239,-78.183406
Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,United States of America,2.5,missing,Venezuela,"4- B,S,C,L","sweet, moldy, off",South America,VE,6.42375,-66.58973
Altus aka Cao Artisan,Conacado,1125,2013,60.0,United States of America,3.0,Trinitario,Dominican Republic,Unknown,missing,Caribbean,DO,18.735693,-70.162651
Altus aka Cao Artisan,Bolivia,1129,2013,80.0,United States of America,3.25,missing,Bolivia,Unknown,missing,South America,BO,-16.290154,-63.588653
Altus aka Cao Artisan,Bolivia,1133,2013,60.0,United States of America,3.0,missing,Bolivia,Unknown,missing,South America,BO,-16.290154,-63.588653
Altus aka Cao Artisan,Peru,1133,2013,60.0,United States of America,3.25,missing,Peru,Unknown,missing,South America,PE,-9.189967,-75.015152
Amano,Morobe,725,2011,70.0,United States of America,4.0,missing,Papua New Guinea,"4- B,S,C,V","tart, lemon, smoke",Oceania,PG,-6.314993,143.95555
Amano,Dos Rios,470,2010,70.0,United States of America,3.75,missing,Dominican Republic,"4- B,S,C,V","orange, cinamon",Caribbean,DO,18.735693,-70.162651
Amano,Guayas,470,2010,70.0,United States of America,4.0,missing,Ecuador,"4- B,S,C,V","strong spice, intense pepper",South America,EC,-1.831239,-78.183406
Amano,Chuao,544,2010,70.0,United States of America,3.0,Trinitario,Venezuela,"4- B,S,C,V","woody, red berry, sour",South America,VE,6.42375,-66.58973
Amano,Montanya,363,2009,70.0,United States of America,3.0,missing,Venezuela,"4- B,S,C,V","hot spice, roasty",South America,VE,6.42375,-66.58973
Amano,"Bali, Jembrana",304,2008,70.0,United States of America,2.75,missing,Indonesia,"4- B,S,C,V","sticky, nutty, high acidity",Asia,ID,-0.789275,113.921327
Amano,Madagascar,129,2007,70.0,United States of America,3.5,Trinitario,Madagascar,"4- B,S,C,V","spice, nut, cocoa, fruit",Africa,MG,-18.766947,46.869107
Amano,Cuyagua,147,2007,70.0,United States of America,3.0,missing,Venezuela,"4- B,S,C,V","waxy, nutty, mint",South America,VE,6.42375,-66.58973
Amano,Ocumare,175,2007,70.0,United States of America,3.75,Criollo,Venezuela,"4- B,S,C,V","spicy, strawberry",South America,VE,6.42375,-66.58973
Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana,"2- B,S","dry, chalky, fudge-like",Africa,GH,7.946527,-1.023194
Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,missing,Ecuador,"2- B,S","waxy mouthfeel, spicy",South America,EC,-1.831239,-78.183406
Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,missing,Ecuador,"2- B,S","fatty, mushroom, off notes",South America,EC,-1.831239,-78.183406
Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana,"2- B,S","roasty,oddly sweet,marshmallow",Africa,GH,7.946527,-1.023194
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,missing,Peru,"3- B,S,C","oily, vanilla, melon, cocoa",South America,PE,-9.189967,-75.015152
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru,"3- B,S,C","oily, vegetal, nutty, cocoa",South America,PE,-9.189967,-75.015152
Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,Belize,"4- B,S,C,L","roasty, brownie, nutty",Caribbean,BZ,17.189877,-88.49765
Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar,"2- B,S","fruity, sour",Africa,MG,-18.766947,46.869107
Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,missing,Dominican Republic,"2- B,S","high roast, high astringnet",Caribbean,DO,18.735693,-70.162651
Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,missing,Papua New Guinea,"2- B,S","smokey, savory",Oceania,PG,-6.314993,143.95555
Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,missing,Venezuela,"2- B,S","sandy, roasty, nutty",South America,VE,6.42375,-66.58973
Ambrosia,Peru,1498,2015,68.0,Canada,3.5,missing,Peru,"2- B,S","rich, sour, mild smoke",South America,PE,-9.189967,-75.015152
Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75,missing,Peru,"4- B,S,C,V","creamy, raspberry, nutty",South America,PE,-9.189967,-75.015152
Amedei,Porcelana,111,2007,70.0,Italy,4.0,Criollo,Venezuela,"2- B,S","creamy, complex, coffee",South America,VE,6.42375,-66.58973
Amedei,Nine,111,2007,75.0,Italy,4.0,Blend,Unknown,Unknown,missing,Unknown,ZZ,0.0,0.0
Amedei,Chuao,111,2007,70.0,Italy,5.0,Trinitario,Venezuela,Unknown,missing,South America,VE,6.42375,-66.58973
Amedei,Ecuador,123,2007,70.0,Italy,3.0,Trinitario,Ecuador,"4- B,S,C,V","creamy, earthy, vegetal",South America,EC,-1.831239,-78.183406
Amedei,Jamaica,123,2007,70.0,Italy,3.0,Trinitario,Jamaica,"4- B,S,C,V","sandy, woody, spicy",Caribbean,JM,18.109581,-77.297508
Amedei,Grenada,123,2007,70.0,Italy,3.5,Trinitario,Grenada,"4- B,S,C,V",fruity with coffee notes,Caribbean,GD,12.262776,-61.604171
Amedei,Venezuela,123,2007,70.0,Italy,3.75,Criollo,Venezuela,"4- B,S,C,V","creamy, fruit, cocoa",South America,VE,6.42375,-66.58973
Amedei,Madagascar,123,2007,70.0,Italy,4.0,Criollo,Madagascar,Unknown,missing,Africa,MG,-18.766947,46.869107
Amedei,Trinidad,129,2007,70.0,Italy,3.5,Trinitario,Trinidad Tobago,"4- B,S,C,V","coffee, fruit, woodsy",Caribbean,TT,10.691803,-61.222503
Amedei,Toscano Black,170,2007,63.0,Italy,3.5,Blend,Unknown,"4- B,S,C,V","fatty, dairy, caramel, cocoa",Unknown,ZZ,0.0,0.0
Amedei,Toscano Black,40,2006,70.0,Italy,5.0,Blend,Unknown,Unknown,missing,Unknown,ZZ,0.0,0.0
Amedei,Toscano Black,75,2006,66.0,Italy,4.0,Blend,Unknown,"4- B,S,C,V","red wine, rich cocoa, long",Unknown,ZZ,0.0,0.0
AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero,Brazil,"4- B,S,C,L","grainy, sweet, poor aftertaste",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero,Brazil,"4- B,S,C,L","creamy, red berry, bitter",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero,Brazil,"4- B,S,C,L","roasty, fatty, nutty, coffee",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero,Brazil,"4- B,S,C,L","very sweet, bright red, banana",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero,Brazil,"4- B,S,C,L","creamy, sweet,cocoa,banana",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero,Brazil,"4- B,S,C,L","creamy, red berry, bitter",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero,Brazil,"4- B,S,C,L","roasty, fatty, nutty, coffee",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero,Brazil,"4- B,S,C,L","very sweet, bright red, banana",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero,Brazil,"4- B,S,C,L","creamy, sweet,cocoa,banana",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero,Brazil,"4- B,S,C,L","creamy, red berry, bitter",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero,Brazil,"4- B,S,C,L","roasty, fatty, nutty, coffee",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero,Brazil,"4- B,S,C,L","very sweet, bright red, banana",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero,Brazil,"4- B,S,C,L","creamy, sweet,cocoa,banana",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero,Brazil,"4- B,S,C,L","creamy, red berry, bitter",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero,Brazil,"4- B,S,C,L","roasty, fatty, nutty, coffee",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero,Brazil,"4- B,S,C,L","very sweet, bright red, banana",South America,BR,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero,Brazil,"4- B,S,C,L","creamy, sweet,cocoa,banana",South America,BR,-14.235004,-51.92528
Anahata,Elvesia,1259,2014,75.0,United States of America,3.0,missing,Dominican Republic,"2- B,S","chalky, mild fruit, burnt",Caribbean,DO,18.735693,-70.162651
Animas,Alto Beni,1852,2016,75.0,United States of America,3.5,missing,Bolivia,"2- B,S","light roast, caramel, cocoa",South America,BO,-16.290154,-63.588653
Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,"2- B,S","strong fruit, ham, deep cocoa",Africa,MG,-18.766947,46.869107
Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,"3- B,S,C","sandy, fruity, short",Africa,MG,-18.766947,46.869107
Ara,Chiapas,1379,2014,72.0,France,2.5,missing,Mexico,"3- B,S,C","earthy, sour milk, leather",North America,MX,23.634501,-102.552784
Ara,Equateur,1379,2014,75.0,France,2.75,missing,Ecuador,"3- B,S,C","bitter, floral, leather",South America,EC,-1.831239,-78.183406
Ara,Trincheras,1379,2014,75.0,France,3.0,missing,Venezuela,"3- B,S,C","nutty, mild spice, mild earthy",South America,VE,6.42375,-66.58973
Arete,San Juan,1724,2016,70.0,United States of America,3.5,Trinitario,Trinidad Tobago,"2- B,S","delicate, simple",Caribbean,TT,10.691803,-61.222503
Arete,Kokoa Kamili,1724,2016,70.0,United States of America,3.75,missing,Tanzania,"2- B,S","appealing smoke, woody",Africa,TZ,-6.369028,34.888822
Arete,Tien Giang,1900,2016,73.0,United States of America,3.5,Trinitario,Vietnam,"3- B,S,C","cashew, roasty, chunky melt",Asia,VN,14.058324,108.277199
Arete,Hacienda Victoria,1904,2016,70.0,United States of America,3.25,missing,Ecuador,"3- B,S,C","sticky, floral, roasty",South America,EC,-1.831239,-78.183406
Arete,Costa Esmeraldas,1904,2016,70.0,United States of America,3.25,missing,Ecuador,"3- B,S,C","chewy, mild floral",South America,EC,-1.831239,-78.183406
Arete,Lachua,1904,2016,70.0,United States of America,3.5,missing,Guatemala,"2- B,S","subtle, mysterious",Central America,GT,15.783471,-90.230759
Arete,Rugoso,1904,2016,70.0,United States of America,3.75,missing,Nicaragua,"3- B,S,C","muddy, rich cocoa, raspberry",Central America,NI,12.865416,-85.207229
Arete,"La Masica, FHIA",1908,2016,70.0,United States of America,3.5,missing,Honduras,"2- B,S","nutty, green",Central America,HN,15.199999,-86.241905
Arete,"Coto Brus, Terciopelo",1908,2016,70.0,United States of America,4.0,missing,Costa Rica,"2- B,S","balanced, cherry, choco",Central America,CR,9.748917,-83.753428
Arete,Phantom,1924,2016,70.0,United States of America,4.0,Forastero,Peru,"2- B,S","creamy, complex, balanced",South America,PE,-9.189967,-75.015152
Arete,Elvesia,1928,2016,70.0,United States of America,3.75,missing,Dominican Republic,"2- B,S","dark berry, chocolatey",Caribbean,DO,18.735693,-70.162651
Arete,Matasawalevu,1928,2016,70.0,United States of America,3.25,missing,Fiji,"2- B,S","smoke, hammy, cocoa base",Oceania,FJ,-16.578193,179.414413
Arete,Lam Dong,1928,2016,73.0,United States of America,3.25,missing,Vietnam,"2- B,S","earthy, nutty, cardboard",Asia,VN,14.058324,108.277199
Arete,Fazenda Camboa,1534,2015,70.0,United States of America,3.5,missing,Brazil,"2- B,S","creamy, rich, rum, roasty",South America,BR,-14.235004,-51.92528
Arete,Nacional,1534,2015,68.0,United States of America,3.5,Forastero,Peru,"2- B,S","floral, nutty, rich cocoa",South America,PE,-9.189967,-75.015152
Arete,"Puerto Quito, heirloom",1534,2015,70.0,United States of America,3.75,Forastero,Ecuador,"2- B,S","spicy, cocoa",South America,EC,-1.831239,-78.183406
Arete,Oko Caribe,1598,2015,70.0,United States of America,3.5,missing,Dominican Republic,"2- B,S","spicy, brownie, nutty",Caribbean,DO,18.735693,-70.162651
Arete,Maya Mountain,1598,2015,70.0,United States of America,3.75,Trinitario,Belize,"2- B,S","floral, strawberry, metallic",Caribbean,BZ,17.189877,-88.49765
Arete,Chuno,1598,2015,70.0,United States of America,4.0,Criollo,Nicaragua,"2- B,S","creamy,sticky, peanut butter",Central America,NI,12.865416,-85.207229
Arete,Fazenda Camboa,1602,2015,75.0,United States of America,2.75,missing,Brazil,"2- B,S","floral, chemical off",South America,BR,-14.235004,-51.92528
Arete,Guatemala,1602,2015,70.0,United States of America,3.25,missing,Guatemala,"2- B,S","strawberry, butterscotch, off",Central America,GT,15.783471,-90.230759
Arete,Camino Verde,1602,2015,75.0,United States of America,3.5,missing,Ecuador,"3- B,S,C","intense, floral, bourbon",South America,EC,-1.831239,-78.183406
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,England,3.25,Trinitario,Trinidad Tobago,"3- B,S,C","gritty, nutty",Caribbean,TT,10.691803,-61.222503
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,England,3.75,missing,Colombia,"3- B,S,C","marshmallow, roasty, nutty",South America,CO,4.570868,-74.297333
Artisan du Chocolat,Haiti,729,2011,72.0,England,4.0,missing,Haiti,"3- B,S,C","nuts, butterscotch, brownie",Caribbean,HT,18.971187,-72.285215
Artisan du Chocolat,Panama,745,2011,72.0,England,2.75,missing,Panama,"3- B,S,C","blackpepper,chemical,rubber",Central America,PA,8.537981,-80.782127
Artisan du Chocolat,Venezuela,486,2010,100.0,England,1.75,missing,Venezuela,Unknown,"very nutty, very bitter",South America,VE,6.42375,-66.58973
Artisan du Chocolat,Jamaica,531,2010,72.0,England,3.75,Trinitario,Jamaica,"3- B,S,C","grassy, black licorice, mint",Caribbean,JM,18.109581,-77.297508
Artisan du Chocolat,Costa Rica,600,2010,72.0,England,3.25,missing,Costa Rica,"3- B,S,C","chewy, grassy, nutty",Central America,CR,9.748917,-83.753428
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,England,3.25,Trinitario,Vietnam,"3- B,S,C","unrefined, distinct spicey",Asia,VN,14.058324,108.277199
Artisan du Chocolat,Bali,600,2010,72.0,England,3.5,missing,Indonesia,"3- B,S,C",black pepper and banana,Asia,ID,-0.789275,113.921327
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,England,2.5,Criollo,Venezuela,"3- B,S,C","oily, nutty, burnt, sour",South America,VE,6.42375,-66.58973
Artisan du Chocolat,Java,355,2009,72.0,England,2.75,Trinitario,Indonesia,"3- B,S,C","gritty, very smokey, sour",Asia,ID,-0.789275,113.921327
Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,England,1.75,missing,Brazil,"3- B,S,C","cocoa, dominate off note",South America,BR,-14.235004,-51.92528
Artisan du Chocolat,Madagascar,363,2009,80.0,England,3.0,Criollo,Madagascar,"3- B,S,C","sl. bitter, cherry, rich",Africa,MG,-18.766947,46.869107
Artisan du Chocolat,Peru,363,2009,75.0,England,3.0,Criollo,Peru,"3- B,S,C","spicey, mild metallic",South America,PE,-9.189967,-75.015152
Artisan du Chocolat,Dominican Republic,363,2009,72.0,England,3.25,Trinitario,Dominican Republic,"3- B,S,C","spice, cocoa, short",Caribbean,DO,18.735693,-70.162651
Artisan du Chocolat,Congo,300,2008,72.0,England,3.75,Forastero,Republic of Congo,"3- B,S,C","spicy, minty, vegetal",Africa,CG,-0.228021,15.827659
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,England,2.75,Trinitario,Colombia,"4- B,S,C,L","creamy, marshmallow, off",South America,CO,4.570868,-74.297333
Askinosie,Mababa,1780,2016,68.0,United States of America,3.75,Trinitario,Tanzania,"3- B,S,C","creamy, rich, blueberry",Africa,TZ,-6.369028,34.888822
Askinosie,"Tenende, Uwate",647,2011,72.0,United States of America,3.75,Trinitario,Tanzania,"2- B,S","creamy, woody, cocoa",Africa,TZ,-6.369028,34.888822
Askinosie,Cortes,661,2011,70.0,United States of America,3.75,Trinitario,Honduras,"2- B,S","grapes, woody, roasty",Central America,HN,15.199999,-86.241905
Askinosie,Davao,331,2009,77.0,United States of America,3.75,Trinitario,Philippines,"2- B,S","strawberries, mild tart, roasty",Asia,PH,12.879721,121.774017
Askinosie,Xoconusco,141,2007,75.0,United States of America,2.5,Trinitario,Mexico,"2- B,S","leather, black licorice, off",North America,MX,23.634501,-102.552784
Askinosie,San Jose del Tambo,175,2007,70.0,United States of America,3.0,Forastero,Ecuador,"2- B,S","smooth, astringent, cocoa",South America,EC,-1.831239,-78.183406
Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,missing,Unknown,"2- B,S","coarse, smokey, metallic",Unknown,ZZ,0.0,0.0
Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,missing,Papua New Guinea,"2- B,S","smoke, ham, papaya",Oceania,PG,-6.314993,143.95555
Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar,"2- B,S","unrefined, flat, grassy",Africa,MG,-18.766947,46.869107
Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,missing,Brazil,"2- B,S","chalky, intense, chemical",South America,BR,-14.235004,-51.92528
