,Broad_Bean_Origin
341,Ecuador
342,Ecuador
343,Ecuador
344,Ecuador
345,Papua New Guinea
346,Papua New Guinea
347,Guatemala
348,Costa Rica
349,Costa Rica
350,Costa Rica
351,Costa Rica
352,Colombia
353,Colombia
354,Colombia
355,Colombia
356,Colombia
357,Belize
358,Honduras
359,Domincan Republic
360,Venezuela
361,Colombia
362,Colombia
363,Dominican Republic
364,Bolivia
365,Dominican Republic
366,Peru
367,Venezuela
368,Nicaragua
369,Peru
370,Venezuela
371,Ecuador
372,Peru
373,Venezuela
374,Bolivia
375,Ecuador
376,Uganda
377,Belize
378,Ecuador
379,Ecuador
380,Costa Rica
381,unspecified
382,Ecuador
383,Belize
384,Belize
385,Vietnam
386,Malaysia
387,Peru
388,Peru
389,Dominican Republic
390,Madagascar
391,Venezuela
392,Peru
393,unspecified
394,Bolivia
395,Uganda
396,Dominican Republic
397,Dominican Republic
398,Venezuela
399,Ecuador
400,Nicaragua
401,Peru
402,Dominican Republic
403,Congo
404,Peru
405,Peru
406,Venezuela
407,Peru
408,Ecuador
409,Peru
410,Madagascar
411,Mexico
412,Venezuela
413,Mexico
414,Mexico
415,Madagascar
416,unspecified
417,unspecified
418,Venezuela
419,Ecuador
420,Grenada
421,unspecified
422,Mexico
423,Mexico
424,Venezuela
425,Mexico
426,Brazil
427,Brazil
428,Venezuela
429,Martinique
430,Mexico
431,Peru
432,Venezuela
433,Venezuela
434,Sao Tome & Principe
435,Sao Tome & Principe
436,Sao Tome & Principe
437,Sao Tome & Principe
438,Ecuador
439,Madagascar
440,Venezuela
441,Venezuela
442,Bolivia
443,Venezuela
444,Ecuador
445,Ecuador
446,Vietnam
447,Ecuador
448,Ghana
449,Ecuador
450,Sao Tome & Principe
451,Madagascar
452,Grenada
453,Venezuela
454,Ecuador
455,Trinidad
456,Jamaica
457,Venezuela
458,Peru
459,Peru
460,Venezuela
461,Venezuela
462,Mexico
463,Venezuela
464,Madagascar
465,unspecified
466,Papua New Guinea
467,Vanuatu
468,Tanzania
469,Brazil
470,Fiji
471,Vanuatu
472,Papua New Guinea
473,Ecuador
474,Ecuador
475,Australia
476,Australia
477,Dominican Republic
478,Trinidad
479,Ecuador
480,Grenada
481,Nicaragua
482,unspecified
483,Belize
484,Belize
485,Ecuador
486,Liberia
487,Dominican Republic
488,Venezuela
489,Venezuela
490,Venezuela
491,Papua New Guinea
492,Costa Rica
493,Colombia
494,Dominican Republic
495,Dominican Republic
496,Madagascar
497,Tanzania
498,Guatemala
499,Venezuela
500,Guatemala
501,Madagascar
502,Guatemala
503,Guatemala
504,Guatemala
505,Guatemala
506,Guatemala
507,Venezuela
508,Vietnam
509,"Ecuador, Costa Rica"
510,Bolivia
511,Madagascar
512,Venezuela
513,Tanzania
514,Ecuador
515,Ghana
516,Dominican Republic
517,Venezuela
518,West Africa
519,Brazil
520,Brazil
521,Uganda
522,Madagascar
523,Madagascar
524,Costa Rica
525,Ecuador
526,Ghana
527,Papua New Guinea
528,Peru
529,Papua New Guinea
530,Venezuela
531,Tanzania
532,Bolivia
533,Costa Rica
534,Dominican Republic
535,Guatemala
536,Vietnam
537,Bolivia
538,Dominican Republic
539,Ecuador
540,Ecuador
541,Bolivia
542,Belize
543,Madagascar
544,Madagascar
545,Venezuela
546,Dominican Republic
547,Ecuador
548,Venezuela
549,Panama
550,Venezuela
551,Nicaragua
552,Hawaii
553,West Africa
554,unspecified
555,Ecuador
556,Venezuela
557,Venezuela
558,Tanzania
559,Venezuela
560,Venezuela
561,Venezuela
562,Venezuela
563,Colombia
564,unspecified
565,unspecified
566,Venezuela
567,Venezuela
568,Venezuela
569,Madagascar
570,Madagascar
571,Indonesia
572,Ecuador
573,Venezuela
574,Venezuela
575,Peru
576,Venezuela
577,Grenada
578,Venezuela
579,Colombia
580,Madagascar
581,Guatemala
582,Nicaragua
583,Nicaragua
584,Venezuela
585,Honduras
586,Dominican Republic
587,Panama
588,Nicaragua
589,Venezuela
590,Panama
591,Ecuador
592,Ecuador
593,Peru
594,Dominican Republic
595,Madagascar
596,Peru
597,Venezuela
598,Domincan Republic
599,Venezuela
600,Ecuador
601,Peru
602,Madagascar
603,Dominican Republic
604,Colombia
605,Colombia
606,Peru
607,Venezuela
608,Bolivia
609,Bolivia
610,Venezuela
611,Venezuela
612,Venezuela
613,Venezuela
614,Venezuela
615,Venezuela
616,Venezuela
617,St. Lucia
618,St. Lucia
619,Venezuela
620,Peru
621,Honduras
622,Sao Tome & Principe
623,Vietnam
624,Vietnam
625,Vietnam
626,Venezuela
627,Costa Rica
628,Venezuela
629,"Cost Rica, Ven"
630,Venezuela
631,"Peru, Madagascar"
632,Trinidad
633,Venezuela
634,unspecified
635,"Venezuela, Trinidad"
636,Belize
637,Ecuador
638,Dominican Republic
639,Brazil
640,Jamaica
641,Venezuela
642,Belize
643,Grenada
644,unspecified
645,Dominican Republic
646,Madagascar
647,Venezuela
648,Ecuador
649,Bolivia
650,Puerto Rico
651,Dominican Republic
652,Dominican Republic
653,Dominican Republic
654,Peru
655,Domincan Republic
656,Domincan Republic
657,Madagascar
658,Ecuador
659,Tanzania
660,Venezuela
661,Venezuela
662,Venezuela
663,Venezuela
664,Costa Rica
665,Peru
666,Vietnam
667,Ghana
668,Madagascar
669,Peru
670,Guatemala
671,Costa Rica
672,Nicaragua
673,Peru
674,Peru
675,Peru
676,Peru
677,Peru
678,Dominican Republic
679,Peru
680,Peru
681,Peru
682,Peru
683,Dominican Republic
684,Dominican Republic
685,Peru
686,Peru
687,Papua New Guinea
688,Papua New Guinea
689,Madagascar
690,Papua New Guinea
691,Papua New Guinea
692,Ghana
693,Jamaica
694,Dominican Republic
695,Jamaica
696,Madagascar
697,Dominican Republic
698,Madagascar
699,Venezuela
700,Venezuela
701,Jamaica
702,Jamaica
703,Jamaica
704,Venezuela
705,Nicaragua
706,Nicaragua
707,Nicaragua
708,Nicaragua
709,Nicaragua
710,Nicaragua
711,Nicaragua
712,Honduras
713,Nicaragua
714,Nicaragua
715,Nicaragua
716,Nicaragua
717,Nicaragua
718,Bolivia
719,Costa Rica
720,Trinidad
721,Peru
722,Dominican Republic
723,Ecuador
724,Peru
725,Costa Rica
726,Costa Rica
727,Hawaii
728,Madagascar
729,Ghana
730,Domincan Republic
731,Domincan Republic
732,Madagascar
733,Belize
734,Brazil
735,Mexico
736,Nicaragua
737,Guatemala
738,Vietnam
739,unspecified
740,Madagascar
741,Grenada
742,Grenada
743,Grenada
744,Ecuador
745,Ghana
746,"Trinidad, Tobago"
747,Venezuela
748,"Ven, Trinidad, Ecuador"
749,unspecified
750,Haiti
751,Nicaragua
752,Jamaica
753,Ecuador
754,unspecified
755,unspecified
756,unspecified
757,Trinidad
758,Hawaii
759,unspecified
760,unspecified
761,Peru
762,unspecified
763,Venezuela
764,unspecified
765,Colombia
766,Venezuela
767,Madagascar
768,Ecuador
769,unspecified
770,unspecified
771,Papua New Guinea
772,unspecified
773,Dominican Republic
774,unspecified
775,unspecified
776,unspecified
777,unspecified
778,Hawaii
779,unspecified
780,Ecuador
781,Ecuador
782,Ecuador
783,"South America, Africa"
784,Brazil
785,Brazil
786,Brazil
787,Brazil
788,Peru
789,Belize
790,Costa Rica
791,Bolivia
792,Bolivia
793,Ecuador
794,Hawaii
795,Hawaii
796,Ecuador
797,Ecuador
798,Bolivia
799,Bolivia
800,Uganda
801,Venezuela
802,Tanzania
803,Madagascar
804,Venezuela
805,Ecuador
806,Peru
807,Madagascar
808,Venezuela
809,Domincan Republic
810,Peru
811,Ecuador
812,Ecuador
813,Ecuador
814,Ecuador
815,Ecuador
816,Peru
817,Ecuador
818,Madagascar
819,Trinidad
820,Venezuela
821,Côte d'Ivoire
822,Dominican Republic
823,Peru
824,Dominican Republic
825,Ecuador
826,St. Lucia
827,St. Lucia
828,St. Lucia
829,Trinidad
830,Vietnam
831,Ecuador
832,Madagascar
833,Ecuador
834,Peru
835,Ecuador
836,Dominican Republic
837,Madagascar
838,Ecuador
839,St. Lucia
840,St. Lucia
841,Ecuador
842,Dominican Republic
843,Venezuela
844,St. Lucia
845,Uganda
846,Tanzania
847,Sao Tome
848,Vietnam
849,Bolivia
850,Bolivia
851,Nicaragua
852,Dominican Republic
853,Dominican Republic
854,Venezuela
855,Venezuela
856,Venezuela
857,Venezuela
858,Venezuela
859,Venezuela
860,Venezuela
861,Venezuela
862,Venezuela
863,Venezuela
864,Venezuela
865,Venezuela
866,India
867,Dominican Republic
868,Dominican Republic
869,Honduras
870,Peru
871,Peru
872,Madagascar
873,Peru
874,Belize
875,Dominican Republic
876,Belize
877,Dominican Republic
878,Ghana
879,Madagascar
880,Belize
881,Madagascar
882,Peru
883,Dominican Republic
884,Dominican Republic
885,Dominican Republic
886,Dominican Republic
887,Peru
888,Vanuatu
889,Ecuador
890,Ecuador
891,Ecuador
892,Ecuador
893,Ecuador
894,Ecuador
895,Ecuador
896,Ecuador
897,unspecified
898,Ecuador
899,Dominican Republic
900,Mexico
901,Dominican Republic
902,Peru
903,Venezuela
904,Belize
905,Madagascar
906,Belize
907,Dominican Republic
908,Dominican Republic
909,Haiti
910,Peru
911,Ecuador
912,Brazil
913,Uganda
914,Dominican Republic
915,Ecuador
916,Madagascar
917,Peru
918,Brazil
919,Venezuela
920,Ecuador
921,Grenada
922,Dominican Republic
923,Venezuela
924,Madagascar
925,Bolivia
926,Peru
927,Peru
928,Peru
929,Belize
930,"Africa, Carribean, C. Am."
931,Tobago
932,Ecuador
933,Dominican Republic
934,Grenada
935,Ghana
936,Venezuela
937,unspecified
938,unspecified
939,"Ven., Indonesia, Ecuad."
940,Peru
941,Ecuador
942,Madagascar
943,Vietnam
944,Cuba
945,Peru
946,Côte d'Ivoire
947,Sao Tome
948,Brazil
949,Vietnam
950,Cuba
951,Trinidad-Tobago
952,Brazil
953,Tanzania
954,Nicaragua
955,Venezuela
956,Venezuela
957,"Peru, Ecuador, Venezuela"
958,Honduras
959,Belize
960,Liberia
961,Bolivia
962,Trinidad
963,Costa Rica
964,Domincan Republic
965,Tanzania
966,Peru
967,Madagascar
968,Madagascar
969,Peru
970,Bolivia
971,Peru
972,"Venezuela, Dom. Rep."
973,Dominican Republic
974,Bolivia
975,unspecified
976,Puerto Rico
977,Hawaii
978,Hawaii
979,Hawaii
980,Hawaii
981,Hawaii
982,Hawaii
983,Nicaragua
984,"Colombia, Ecuador"
985,"Colombia, Ecuador"
986,"Colombia, Ecuador"
987,Colombia
988,Peru
989,Peru
990,Madagascar
991,Madagascar
992,Madagascar
993,Madagascar
994,Solomon Islands
995,Puerto Rico
996,Brazil
997,Hawaii
998,Mexico
999,Hawaii
1000,Hawaii
1001,Hawaii
1002,Dominican Republic
1003,Costa Rica
1004,Mexico
1005,Tanzania
1006,Ecuador
1007,Cuba
1008,Dominican Republic
1009,Ecuador
1010,Madagascar
1011,Madagascar
1012,Philippines
1013,Hawaii
1014,Hawaii
1015,Venezuela
1016,Ecuador
1017,Peru
1018,Venezuela
1019,Dominican Republic
1020,Colombia
1021,Papua New Guinea
1022,Costa Rica
1023,Hawaii
1024,Liberia
1025,Hawaii
1026,Peru
1027,Hawaii
1028,Nicaragua
1029,Peru
1030,Venezuela
1031,Colombia
1032,Dominican Republic
1033,Ghana
1034,Ecuador
1035,Vietnam
1036,Dominican Republic
1037,Peru
1038,Ecuador
1039,Trinidad
1040,Nicaragua
1041,Peru
1042,Colombia
1043,Tanzania
1044,Honduras
1045,Peru
1046,Peru
1047,Peru
1048,unspecified
1049,Vietnam
1050,Vietnam
1051,Vietnam
1052,Vietnam
1053,Vietnam
1054,Vietnam
1055,Vietnam
1056,Vietnam
1057,Vietnam
1058,Vietnam
1059,Costa Rica
1060,Côte d'Ivoire
1061,Nigeria
1062,Ghana
1063,Dominican Republic
1064,Dominican Republic
1065,Bolivia
1066,Haiti
1067,Colombia
1068,Guatemala
1069,Tanzania
1070,"Peru, Belize"
1071,"Peru, Mad., Dom. Rep."
1072,Venezuela
1073,unspecified
1074,Venezuela
1075,Venezuela
1076,Venezuela
1077,Belize
1078,Papua New Guinea
1079,Peru
1080,Dominican Republic
1081,Dominican Republic
1082,Venezuela
1083,Venezuela
1084,Dominican Republic
1085,Vanuatu
1086,Madagascar
1087,Papua New Guinea
1088,"PNG, Vanuatu, Mad"
1089,Belize
1090,Dominican Republic
1091,Peru
1092,Peru
1093,Domincan Republic
1094,Bolivia
1095,Venezuela
1096,Belize
1097,Nicaragua
1098,Dominican Republic
1099,Madagascar
1100,Madagascar
1101,El Salvador
1102,El Salvador
1103,Honduras
1104,Honduras
1105,Nicaragua
1106,Nicaragua
1107,Brazil
1108,Madagascar
1109,South America
1110,Mexico
1111,Venezuela
1112,Sao Tome
1113,unspecified
1114,unspecified
1115,Sao Tome
1116,Dominican Republic
1117,Madagascar
1118,Papua New Guinea
1119,unspecified
1120,Belize
1121,Trinidad
1122,Dominican Republic
1123,Venezuela
1124,Tanzania
1125,Nicaragua
1126,Dominican Republic
1127,Belize
1128,unspecified
1129,Bolivia
1130,Indonesia
1131,Ecuador
1132,Ecuador
1133,Ecuador
1134,Ecuador
1135,Haiti
1136,Brazil
1137,Brazil
1138,Colombia
1139,Belize
1140,Belize
1141,Belize
1142,Domincan Republic
1143,Indonesia
1144,Peru
1145,Nicaragua
1146,Nicaragua
1147,Nicaragua
1148,Dominican Republic
1149,Papua New Guinea
1150,Ecuador
1151,Ecuador
1152,Ecuador
1153,Nicaragua
1154,Nicaragua
1155,Tanzania
1156,Domincan Republic
1157,Madagascar
1158,Vietnam
1159,Costa Rica
1160,Costa Rica
1161,"Trinidad, Tobago"
1162,Peru
1163,Grenada
1164,Nicaragua
1165,Venezuela
1166,Venezuela
1167,Hawaii
1168,Peru
1169,Dominican Republic
1170,Madagascar
1171,Ghana
1172,Papua New Guinea
1173,Trinidad
1174,unspecified
1175,West Africa
1176,Sao Tome
1177,Venezuela
1178,Venezuela
1179,Dominican Republic
1180,Madagascar
1181,Peru
1182,Peru
1183,Ecuador
1184,Ghana
1185,Belize
1186,Peru
1187,Venezuela
1188,Ecuador
1189,Nicaragua
1190,Nicaragua
1191,Ecuador
1192,Ghana
1193,Ecuador
1194,Venezuela
1195,Madagascar
1196,Dominican Republic
1197,Brazil
1198,Jamaica
1199,Peru
1200,Peru
1201,Congo
1202,Peru
1203,Samoa
1204,Samoa
1205,Papua New Guinea
1206,Papua New Guinea
1207,Papua New Guinea
1208,Papua New Guinea
1209,Trinidad
1210,Tanzania
1211,Bolivia
1212,Dominican Republic
1213,Ghana
1214,"Ghana, Domin. Rep"
1215,"Ghana, Domin. Rep"
1216,Carribean
1217,Carribean
1218,Carribean
1219,Carribean
1220,Ghana
1221,Tanzania
1222,Papua New Guinea
1223,Madagascar
1224,Belize
1225,Dominican Republic
1226,Nicaragua
1227,Dominican Republic
1228,Ecuador
1229,Papua New Guinea
1230,unspecified
1231,Bolivia
1232,Congo
1233,Peru
1234,Bolivia
1235,Hawaii
1236,Hawaii
1237,Peru
1238,Peru
1239,Colombia
1240,Ecuador
1241,Ecuador
1242,Ecuador
1243,Ecuador
1244,Ecuador
1245,Peru
1246,Ecuador
1247,Ecuador
1248,Ecuador
1249,Ecuador
1250,Ecuador
1251,Ecuador
1252,Guatemala
1253,Belize
1254,Bolivia
1255,Trinidad
1256,Tanzania
1257,Vietnam
1258,Bolivia
1259,Madagascar
1260,Ecuador
1261,"Trinidad, Ecuador"
1262,Trinidad
1263,Fiji
1264,South America
1265,Tanzania
1266,Guatemala
1267,Bolivia
1268,Dominican Republic
1269,Peru
1270,Peru
1271,unspecified
1272,Madagascar
1273,Madagascar
1274,Venezuela
1275,Madagascar
1276,Peru
1277,Madagascar
1278,Madagascar
1279,Dominican Republic
1280,Cameroon
1281,Venezuela
1282,Trinidad
1283,Cuba
1284,Peru
1285,Brazil
1286,Mexico
1287,"Venezuela, Java"
1288,Ecuador
1289,Madagascar
1290,Venezuela/ Ghana
1291,Mexico
1292,Indonesia
1293,Venezuela
1294,Honduras
1295,Nicaragua
1296,Nicaragua
1297,Nicaragua
1298,Nicaragua
1299,Nicaragua
1300,Madagascar
1301,Fiji
1302,Ecuador
1303,Ecuador
1304,Dominican Republic
1305,Peru
1306,Domincan Republic
1307,Venezuela
1308,Costa Rica
1309,Costa Rica
1310,Peru
1311,Brazil
1312,Costa Rica
1313,Peru
1314,Venezuela
1315,Venezuela
1316,Venezuela
1317,Papua New Guinea
1318,Madagascar
1319,Dominican Republic
1320,Brazil
1321,Sao Tome
1322,Brazil
1323,Tanzania
1324,Sao Tome & Principe
1325,Trinidad
1326,Madagascar
1327,Indonesia
1328,Venezuela
1329,Jamaica
1330,Ecuador
1331,Vanuatu
1332,Ghana
1333,Colombia
1334,Ecuador
1335,Cuba
1336,"Venezuela, Ghana"
1337,"Indonesia, Ghana"
1338,Ecuador
1339,Grenada
1340,Madagascar
1341,Honduras
1342,Venezuela
1343,Ecuador
1344,Madagascar
1345,Ecuador
1346,Venezuela
1347,Brazil
1348,Brazil
1349,Brazil
1350,Brazil
1351,Brazil
1352,Brazil
1353,Mexico
1354,Mexico
1355,"Peru(SMartin,Pangoa,nacional)"
1356,Congo
1357,Madagascar
1358,Dominican Republic
1359,Guatemala
1360,Ecuador
1361,Peru
1362,Peru
1363,Peru
1364,Peru
1365,unspecified
1366,Ecuador
1367,Ecuador
1368,Ecuador
1369,Ecuador
1370,Ecuador
1371,Ecuador
1372,Ecuador
1373,unspecified
1374,Belize
1375,Peru
1376,Madagascar
1377,Ecuador
1378,Trinidad
1379,Costa Rica
1380,Costa Rica
1381,Costa Rica
1382,Costa Rica
1383,Madagascar
1384,Madagascar
1385,Grenada
1386,Honduras
1387,Venezuela
1388,Bolivia
1389,Venezuela
1390,Madagascar
1391,Dominican Republic
1392,Bolivia
1393,Jamaica
1394,Ecuador
1395,Bolivia
1396,Peru
1397,Venezuela
1398,Dominican Republic
1399,Jamaica
1400,Madagascar
1401,Trinidad
1402,Venezuela
1403,Venezuela
1404,Madagascar
1405,Venezuela
1406,Venezuela
1407,Venezuela
1408,Principe
1409,Madagascar
1410,unspecified
1411,Dominican Republic
1412,Carribean
1413,unspecified
1414,Central and S. America
1415,Central and S. America
1416,Brazil
1417,Ecuador
1418,Venezuela
1419,Ecuador
1420,Colombia
1421,Colombia
1422,Colombia
1423,Colombia
1424,Colombia
1425,Sao Tome
1426,Peru
1427,Papua New Guinea
1428,Grenada
1429,Madagascar
1430,Brazil
1431,Ghana
1432,Vietnam
1433,"Ven., Trinidad, Mad."
1434,Carribean(DR/Jam/Tri)
1435,unspecified
1436,Venezuela
1437,Carribean
1438,unspecified
1439,unspecified
1440,Ghana & Madagascar
1441,Jamaica
1442,unspecified
1443,Domincan Republic
1444,Grenada
1445,Jamaica
1446,Papua New Guinea
1447,Venezuela
1448,Dominican Republic
1449,Ecuador
1450,Belize
1451,Hawaii
1452,Hawaii
1453,Peru
1454,Peru
1455,Costa Rica
1456,Costa Rica
1457,Peru
1458,Belize
1459,Sao Tome
1460,Brazil
1461,Colombia
1462,Bolivia
1463,Tanzania
1464,Ecuador
1465,Madagascar
1466,Ecuador
1467,Guatemala
1468,Guatemala
1469,Haiti
1470,Madagascar
1471,Madagascar
1472,Ecuador
1473,Ghana
1474,Nicaragua
1475,Dominican Republic
1476,Venezuela
1477,Ecuador
1478,Belize
1479,Vietnam
1480,Australia
1481,Guatemala
1482,Madagascar
1483,Madagascar
1484,Tanzania
1485,Trinidad
1486,Ecuador
1487,Bolivia
1488,Papua New Guinea
1489,Peru
1490,Venezuela
1491,Ghana
1492,Madagascar
1493,Ecuador
1494,Ecuador
1495,Madagascar
1496,Peru
1497,Domincan Republic
1498,Solomon Islands
1499,Solomon Islands
1500,Uganda
1501,Madagascar
1502,Venezuela
1503,Bolivia
1504,Peru
1505,unspecified
1506,Domincan Republic
1507,Madagascar
1508,Brazil
1509,"Ven.,Ecu.,Peru,Nic."
1510,Nicaragua
1511,Vietnam
1512,Ecuador
1513,Venezuela
1514,Venezuela
1515,Nicaragua
1516,Peru
1517,Nicaragua
1518,Ecuador
1519,Vanuatu
1520,Madagascar & Ecuador
1521,Dominican Republic
1522,Indonesia
1523,Peru
1524,Trinidad
1525,unspecified
1526,Venezuela
1527,"Guat., D.R., Peru, Mad., PNG"
1528,Venezuela
1529,"Peru, Dom. Rep"
1530,Venezuela
1531,Jamaica
1532,Haiti
1533,Hawaii
1534,"Dom. Rep., Madagascar"
1535,"Gre., PNG, Haw., Haiti, Mad"
1536,Guatemala
1537,Venezuela
1538,"Mad., Java, PNG"
1539,Papua New Guinea
1540,Grenada
1541,Bolivia
1542,Peru
1543,Dominican Republic
1544,Venezuela
1545,"DR, Ecuador, Peru"
1546,Dominican Republic
1547,Ghana
1548,Dominican Republic
1549,Papua New Guinea
1550,Madagascar
1551,Venezuela
1552,Nicaragua
1553,Hawaii
1554,Dominican Republic
1555,Madagascar
1556,Venezuela
1557,Ecuador
1558,Papua New Guinea
1559,Tanzania
1560,Dominican Republic
1561,Dominican Republic
1562,Dominican Republic
1563,Dominican Republic
1564,Ecuador
1565,Peru
1566,Domincan Republic
1567,Ecuador
1568,Madagascar
1569,Vanuatu
1570,Bolivia
1571,Dominican Republic
1572,Dominican Republic
1573,Ecuador
1574,Domincan Republic
1575,Guatemala
1576,Nicaragua
1577,Madagascar
1578,Brazil
1579,India
1580,Ecuador
1581,Ecuador
1582,Philippines
1583,Philippines
1584,Philippines
1585,Madagascar
1586,Belize
1587,Peru
1588,Peru
1589,Venezuela
1590,Venezuela
1591,Sri Lanka
1592,Ecuador
1593,Cuba
1594,Madagascar
1595,Ecuador
1596,Vietnam
1597,Brazil
1598,Venezuela
1599,Cuba
1600,Madagascar
1601,Madagascar
1602,Nicaragua
1603,Dominican Republic
1604,Madagascar
1605,Peru
1606,Venezuela
1607,Costa Rica
1608,Dominican Republic
1609,Mexico
1610,Peru
1611,Colombia
1612,Papua New Guinea
1613,Vietnam
1614,Trinidad
1615,Suriname
1616,Belize
1617,Bolivia
1618,Mexico
1619,Dominican Republic
1620,West Africa
1621,"Peru, Ecuador"
1622,unspecified
1623,unspecified
1624,Ghana
1625,Peru
1626,Madagascar
1627,Peru
1628,Madagascar
1629,"Ecuador, Mad., PNG"
1630,Papua New Guinea
1631,Dominican Republic
1632,Ecuador
1633,Peru
1634,Ecuador
1635,Bolivia
1636,Madagascar
